wd_id,label
http://www.wikidata.org/entity/Q90174361,Minx
http://www.wikidata.org/entity/Q56501962,Nature
http://www.wikidata.org/entity/Q50821732,Honey Popcorn
http://www.wikidata.org/entity/Q32860762,Weki Meki
http://www.wikidata.org/entity/Q27486653,Bulldok
http://www.wikidata.org/entity/Q24694634,Gugudan
http://www.wikidata.org/entity/Q18651163,Sonamoo
http://www.wikidata.org/entity/Q18437003,Lovelyz
http://www.wikidata.org/entity/Q17278068,Mamamoo
http://www.wikidata.org/entity/Q14853915,Wassup
http://www.wikidata.org/entity/Q11588897,Ladies' Code
http://www.wikidata.org/entity/Q7859350,Two X
http://www.wikidata.org/entity/Q7808559,Tiny-G
http://www.wikidata.org/entity/Q491777,15&
http://www.wikidata.org/entity/Q307478,GP Basic
http://www.wikidata.org/entity/Q60992623,FLAVOR
http://www.wikidata.org/entity/Q60732823,ITZY
http://www.wikidata.org/entity/Q65269682,3YE
http://www.wikidata.org/entity/Q65053711,Girlkind
http://www.wikidata.org/entity/Q60994549,Pink Fantasy
http://www.wikidata.org/entity/Q59325270,Cherry Bullet
http://www.wikidata.org/entity/Q57584225,We Girls
http://www.wikidata.org/entity/Q55731710,Apple.B
http://www.wikidata.org/entity/Q55715778,GWSN
http://www.wikidata.org/entity/Q44739032,Hash Tag
http://www.wikidata.org/entity/Q39433817,S.I.S
http://www.wikidata.org/entity/Q30036738,ELRIS
http://www.wikidata.org/entity/Q28242736,Bonus Baby
http://www.wikidata.org/entity/Q27820706,Momoland
http://www.wikidata.org/entity/Q27450232,D.Holic
http://www.wikidata.org/entity/Q26265886,Pristin
http://www.wikidata.org/entity/Q19839916,Blady
http://www.wikidata.org/entity/Q19794854,Oh My Girl
http://www.wikidata.org/entity/Q5418536,EvoL
http://www.wikidata.org/entity/Q5203291,D-Unit
http://www.wikidata.org/entity/Q623577,Gavy NJ
http://www.wikidata.org/entity/Q497325,Girl's Day
http://www.wikidata.org/entity/Q495383,T-ara
http://www.wikidata.org/entity/Q492721,Brave Girls
http://www.wikidata.org/entity/Q492466,C-REAL
http://www.wikidata.org/entity/Q492146,Dal Shabet
http://www.wikidata.org/entity/Q483286,Apink
http://www.wikidata.org/entity/Q483253,Brown Eyed Girls
http://www.wikidata.org/entity/Q171885,2NE1
http://www.wikidata.org/entity/Q60157,Crayon Pop
http://www.wikidata.org/entity/Q39682,4Minute
http://www.wikidata.org/entity/Q28700240,Wanna.B
http://www.wikidata.org/entity/Q27019538,CoCoSoRi
http://www.wikidata.org/entity/Q21964258,WJSN
http://www.wikidata.org/entity/Q20645861,TWICE
http://www.wikidata.org/entity/Q14298828,2EYES
http://www.wikidata.org/entity/Q13813305,BESTie
http://www.wikidata.org/entity/Q498385,9Muses
http://www.wikidata.org/entity/Q492035,AOA
http://www.wikidata.org/entity/Q124459,KARA
http://www.wikidata.org/entity/Q20858387,April
http://www.wikidata.org/entity/Q19626731,CLC
http://www.wikidata.org/entity/Q60992060,Saturday
http://www.wikidata.org/entity/Q72188524,Hinapia
http://www.wikidata.org/entity/Q48938270,Uni.T
http://www.wikidata.org/entity/Q41398331,fromis_9
http://www.wikidata.org/entity/Q18733995,4TEN
http://www.wikidata.org/entity/Q17487159,Badkiz
http://www.wikidata.org/entity/Q12070509,Tahiti
http://www.wikidata.org/entity/Q84311821,cignature
http://www.wikidata.org/entity/Q48258503,Busters
http://www.wikidata.org/entity/Q37167115,P.O.P
http://www.wikidata.org/entity/Q24834268,Ariaz
http://www.wikidata.org/entity/Q21070459,Playback
http://www.wikidata.org/entity/Q18381082,Berry Good
http://www.wikidata.org/entity/Q17155555,Bob Girls
http://www.wikidata.org/entity/Q12603717,Stellar
http://www.wikidata.org/entity/Q6874568,GLAM
http://www.wikidata.org/entity/Q488674,Hello Venus
http://www.wikidata.org/entity/Q486323,Sunny Hill
http://www.wikidata.org/entity/Q483706,The Grace
http://www.wikidata.org/entity/Q476119,Wonder Girls
http://www.wikidata.org/entity/Q10731195,GI
http://www.wikidata.org/entity/Q65051409,HighSchool
http://www.wikidata.org/entity/Q62067345,Everglow
http://www.wikidata.org/entity/Q17466114,Red Velvet
http://www.wikidata.org/entity/Q16951368,Melody Day
http://www.wikidata.org/entity/Q492076,Fiestar
http://www.wikidata.org/entity/Q490873,Jewelry
http://www.wikidata.org/entity/Q486683,F-ve Dolls
http://www.wikidata.org/entity/Q389067,After School
http://www.wikidata.org/entity/Q344286,f(x)
http://www.wikidata.org/entity/Q39074586,Good Day
http://www.wikidata.org/entity/Q28025953,Loona
http://www.wikidata.org/entity/Q18344661,Laboum
http://www.wikidata.org/entity/Q492035,AOA
http://www.wikidata.org/entity/Q73795501,ANS
http://www.wikidata.org/entity/Q41253535,Favorite
http://www.wikidata.org/entity/Q492251,ChoColat
http://www.wikidata.org/entity/Q284740,miss A
http://www.wikidata.org/entity/Q21070472,Unicorn
http://www.wikidata.org/entity/Q20733515,DIA
http://www.wikidata.org/entity/Q492381,EXID
http://www.wikidata.org/entity/Q20153,Girls' Generation
http://www.wikidata.org/entity/Q489225,Rainbow
http://www.wikidata.org/entity/Q85825168,DKB
http://www.wikidata.org/entity/Q41253610,MVP
http://www.wikidata.org/entity/Q30007238,Golden Child
http://www.wikidata.org/entity/Q269595,Highlight
http://www.wikidata.org/entity/Q61652710,1the9
http://www.wikidata.org/entity/Q60528927,Oneus
http://www.wikidata.org/entity/Q46134670,Stray Kids
http://www.wikidata.org/entity/Q42431662,TRCNG
http://www.wikidata.org/entity/Q30311578,Wanna One
http://www.wikidata.org/entity/Q30236860,A.C.E
http://www.wikidata.org/entity/Q24856806,A.cian
http://www.wikidata.org/entity/Q16648929,JJCC
http://www.wikidata.org/entity/Q486808,N-Train
http://www.wikidata.org/entity/Q307368,Teen Top
http://www.wikidata.org/entity/Q225105,NU'EST
http://www.wikidata.org/entity/Q73184015,M.O.N.T
http://www.wikidata.org/entity/Q59793088,ATEEZ
http://www.wikidata.org/entity/Q56534357,JBJ95
http://www.wikidata.org/entity/Q56520850,D-Crunch
http://www.wikidata.org/entity/Q42327284,IN2IT
http://www.wikidata.org/entity/Q41253652,Seven O'Clock
http://www.wikidata.org/entity/Q28418438,Honeyst
http://www.wikidata.org/entity/Q28415681,Myteen
http://www.wikidata.org/entity/Q27951748,VAV
http://www.wikidata.org/entity/Q21843300,ROMEO
http://www.wikidata.org/entity/Q18328761,Bigflo
http://www.wikidata.org/entity/Q16097465,AlphaBat
http://www.wikidata.org/entity/Q15727149,N.Flying
http://www.wikidata.org/entity/Q15052725,LU:KUS
http://www.wikidata.org/entity/Q499183,MBLAQ
http://www.wikidata.org/entity/Q498326,Block B
http://www.wikidata.org/entity/Q489849,SS501
http://www.wikidata.org/entity/Q489102,SG Wannabe
http://www.wikidata.org/entity/Q483756,Fly to the Sky
http://www.wikidata.org/entity/Q483751,B1A4
http://www.wikidata.org/entity/Q483626,ZE:A
http://www.wikidata.org/entity/Q483234,B.A.P
http://www.wikidata.org/entity/Q483172,CNBLUE
http://www.wikidata.org/entity/Q482620,Shinhwa
http://www.wikidata.org/entity/Q239693,Super Junior
http://www.wikidata.org/entity/Q222760,2PM
http://www.wikidata.org/entity/Q51729,JYJ
http://www.wikidata.org/entity/Q27861498,VICTON
http://www.wikidata.org/entity/Q19855151,MONSTA X
http://www.wikidata.org/entity/Q18161349,iKON
http://www.wikidata.org/entity/Q15116397,WINNER
http://www.wikidata.org/entity/Q486946,Dalmatian
http://www.wikidata.org/entity/Q282104,BIGBANG
http://www.wikidata.org/entity/Q192983,TVXQ!
http://www.wikidata.org/entity/Q41399213,RAINZ
http://www.wikidata.org/entity/Q50598,Infinite
http://www.wikidata.org/entity/Q81207594,ENOi
http://www.wikidata.org/entity/Q64328413,MustB
http://www.wikidata.org/entity/Q48938268,UNB
http://www.wikidata.org/entity/Q39075630,JBJ
http://www.wikidata.org/entity/Q35101861,ONF
http://www.wikidata.org/entity/Q23725822,NCT
http://www.wikidata.org/entity/Q22098485,Snuper
http://www.wikidata.org/entity/Q21012399,UP10TION
http://www.wikidata.org/entity/Q18712427,Madtown
http://www.wikidata.org/entity/Q18161349,iKON
http://www.wikidata.org/entity/Q498701,2AM
http://www.wikidata.org/entity/Q491944,C-Clown
http://www.wikidata.org/entity/Q491067,BtoB
http://www.wikidata.org/entity/Q282104,BIGBANG
http://www.wikidata.org/entity/Q269836,SHINee
http://www.wikidata.org/entity/Q486153,Supernova
http://www.wikidata.org/entity/Q307457,Boyfriend
http://www.wikidata.org/entity/Q63852480,AB6IX
http://www.wikidata.org/entity/Q60550265,TXT
http://www.wikidata.org/entity/Q41949104,The Boyz
http://www.wikidata.org/entity/Q26856852,SF9
http://www.wikidata.org/entity/Q17504487,HALO
http://www.wikidata.org/entity/Q12621311,24K
http://www.wikidata.org/entity/Q1447659,VIXX
http://www.wikidata.org/entity/Q494717,EXO
http://www.wikidata.org/entity/Q60994652,Spectrum
http://www.wikidata.org/entity/Q28418030,TST
http://www.wikidata.org/entity/Q23022478,KNK
http://www.wikidata.org/entity/Q20049012,B.I.G
http://www.wikidata.org/entity/Q16097371,Boys Republic
http://www.wikidata.org/entity/Q15635833,K-Much
http://www.wikidata.org/entity/Q307482,100%
http://www.wikidata.org/entity/Q48163389,Target
http://www.wikidata.org/entity/Q20684188,Hotshot
http://www.wikidata.org/entity/Q28700112,The Legend
http://www.wikidata.org/entity/Q12608302,Homme
http://www.wikidata.org/entity/Q13580495,BTS
http://www.wikidata.org/entity/Q7853796,Turbo
http://www.wikidata.org/entity/Q492218,Speed
http://www.wikidata.org/entity/Q482543,U-KISS
http://www.wikidata.org/entity/Q41145757,IZ
