wd_id,label
http://www.wikidata.org/wiki/Q50374980,14U
Q491078,8Eight
Q9187494,A-JAX
Q97339179,A6P
Q23004252,ASTRO
Q16097283,Beatwin
Q7269143,BIGSTAR
Q30940801,BLACK6IX
Q30941043,Blanc7
Q55707607,BLK
Q63790991,CIX
Q307621,CROSSGENE
Q20898046,DAY6
Q483248,FTISLAND
Q482380,g.o.d.
Q23772001,GOT7
Q76376394,GreatGuys
Q12607232,H.B.Y
Q483135,H.O.T
Q17001916,HIGH4
Q13453910,HISTORY
Q23009892,Imfact
Q28412880,INX
Q65053241,Limitless
Q56811340,Lucente
Q492308,M.I.B
Q22099550,MAP6
Q27940573,Masc
Q14944852,MR.MR
Q33644200,MXM
Q487111,MYNAME
Q16097538,N-Sonic
Q64481611,Newkidd
Q53297966,Noir
Q55364925,NTB
Q23936742,PENTAGON
Q7180539,Phantom
Q14524548,Seventeen
Q19854621,Signal
Q28699425,TheEastlight
Q97222947,THEMANBLK
Q15633507,ToppDogg
Q487262,TRAX
Q18712416,UNIQ
Q48700513,Varsity
Q60577989,Verivery
Q28069586,VOISPER
Q25143919,VROMANCE
Q64481613,WeInTheZone
Q51885404,(G)I-DLE
Q22773985,A.DE
Q490213,BabyV.O.X
Q25056945,BLACKPINK
Q48937733,Bloomy
Q26960605,Bolbbalgan4
Q62070469,BVNDIT
Q65297436,Camila
Q65053981,CherryOnTop
Q483209,Davichi
Q20684822,DreamCatcher
Q60175858,Dreamnote
Q18733030,Gfriend   
Q21059499,GirlsGirls
Q87746015,GirlsAlert
Q29626698,H.U.B
Q48937729,Highteen
Q56402353,IZ*ONE
Q31351226,LipBubble
Q24856232,Matilda
Q24856468,Mixx
Q22099765,myB
Q19795082,Pungdeng-E
Q64785127,PURPLEBECK
Q491708,Rania
Q19483744,RubberSoul
Q491542,S.E.S
Q482995,SECRET
Q223048,SISTAR
Q492387,SPICA
